Parameter,t0,Pt,q0,Pq0,q1,Pq1,q2,Pq2
0,406.5,0,152.4,0,5081,0,1016260,0
1,1220,0,457.3,0.000137,15244,0,3048780,0
2,2033,0,762.2,0.04807,25407,0.0000054,5081301,0
3,2846,0,1067,0.3499,35569,0.00005453,7113821,0
4,3659,0,1372,0.7082,45732,0.0001475,9146341,0
5,4472,0,1677,0.9803,55894,0.0003171,11178862,0
6,5285,0,1982,1.185,66057,0.0005292,13211382,0
7,6098,0,2287,1.298,76220,0.0007409,15243902,0
8,6911,0,2591,1.321,86382,0.0009404,17276423,0
9,7724,0,2896,1.283,96545,0.001103,19308943,0.00000001
10,8537,0,3201,1.207,106707,0.001219,21341463,0.00000001
11,9350,0,3506,1.109,116870,0.001298,23373984,0.00000002
12,10163,0,3811,1.005,127033,0.00135,25406504,0.00000004
13,10976,0,4116,0.905,137195,0.001378,27439024,0.00000006
14,11789,0,4421,0.8142,147358,0.001385,29471545,0.00000009
15,12602,0,4726,0.7354,157520,0.001373,31504065,0.00000013
16,13415,0,5030,0.6682,167683,0.001344,33536585,0.00000018
17,14228,0,5335,0.6121,177846,0.001303,35569106,0.00000023
18,15041,0,5640,0.5657,188008,0.001254,37601626,0.00000029
19,15854,0,5945,0.5275,198171,0.0012,39634146,0.00000037
20,16667,0,6250,0.4959,208333,0.001143,41666667,0.00000045
21,17480,0.0005,6555,0.4697,218496,0.001088,43699187,0.00000054
22,18293,0.0005,6860,0.4478,228659,0.001033,45731707,0.00000063
23,19106,0,7165,0.4295,238821,0.0009824,47764228,0.00000073
24,19919,0.001,7470,0.414,248984,0.000935,49796748,0.00000084
25,20732,0.001,7774,0.4007,259146,0.0008919,51829268,0.00000096
26,21545,0.001,8079,0.3889,269309,0.0008533,53861789,0.00000107
27,22358,0.001,8384,0.3782,279472,0.0008196,55894309,0.0000012
28,23171,0.005,8689,0.3682,289634,0.0007905,57926829,0.00000132
29,23984,0.004,8994,0.3587,299797,0.0007659,59959350,0.00000145
30,24797,0.003,9299,0.3496,309959,0.0007457,61991870,0.00000158
31,25610,0.0095,9604,0.3408,320122,0.0007294,64024390,0.00000172
32,26423,0.007,9909,0.3323,330285,0.0007167,66056911,0.00000185
33,27236,0.008,10213,0.3241,340447,0.0007072,68089431,0.00000199
34,28049,0.0085,10518,0.3162,350610,0.0007005,70121951,0.00000212
35,28862,0.0075,10823,0.3084,360772,0.0006962,72154472,0.00000226
36,29675,0.015,11128,0.3009,370935,0.0006939,74186992,0.0000024
37,30488,0.0135,11433,0.2936,381098,0.0006935,76219512,0.00000253
38,31301,0.018,11738,0.2865,391260,0.0006945,78252033,0.00000267
39,32114,0.0245,12043,0.2796,401423,0.0006968,80284553,0.0000028
40,32927,0.0195,12348,0.2728,411585,0.0007001,82317073,0.00000293
41,33740,0.0295,12652,0.2662,421748,0.0007042,84349593,0.00000307
42,34553,0.0425,12957,0.2598,431911,0.000709,86382114,0.00000319
43,35366,0.0325,13262,0.2535,442073,0.0007144,88414634,0.00000332
44,36179,0.0425,13567,0.2473,452236,0.0007202,90447154,0.00000345
45,36992,0.04,13872,0.2412,462398,0.0007263,92479675,0.00000357
46,37805,0.0545,14177,0.2353,472561,0.0007327,94512195,0.0000037
47,38618,0.0505,14482,0.2294,482724,0.0007393,96544715,0.00000382
48,39431,0.052,14787,0.2237,492886,0.0007459,98577236,0.00000393
49,40244,0.06,15091,0.218,503049,0.0007527,100609756,0.00000405
50,41057,0.0695,15396,0.2125,513211,0.0007595,102642276,0.00000416
51,41870,0.073,15701,0.207,523374,0.0007663,104674797,0.00000428
52,42683,0.0695,16006,0.2017,533537,0.000773,106707317,0.00000439
53,43496,0.081,16311,0.1964,543699,0.0007798,108739837,0.00000449
54,44309,0.084,16616,0.1913,553862,0.0007865,110772358,0.0000046
55,45122,0.0995,16921,0.1862,564024,0.0007931,112804878,0.0000047
56,45935,0.1055,17226,0.1813,574187,0.0007996,114837398,0.0000048
57,46748,0.113,17530,0.1765,584350,0.000806,116869919,0.0000049
58,47561,0.107,17835,0.1718,594512,0.0008123,118902439,0.000005
59,48374,0.126,18140,0.1672,604675,0.0008185,120934959,0.00000509
60,49187,0.1305,18445,0.1627,614837,0.0008247,122967480,0.00000518
61,50000,0.144,18750,0.1584,625000,0.0008307,125000000,0.00000527
62,50813,0.154,19055,0.1541,635163,0.0008365,127032520,0.00000536
63,51626,0.1325,19360,0.15,645325,0.0008423,129065041,0.00000544
64,52439,0.1585,19665,0.146,655488,0.000848,131097561,0.00000553
65,53252,0.1755,19970,0.142,665650,0.0008535,133130081,0.00000561
66,54065,0.187,20274,0.1382,675813,0.0008589,135162602,0.00000569
67,54878,0.1825,20579,0.1345,685976,0.0008642,137195122,0.00000577
68,55691,0.1545,20884,0.131,696138,0.0008694,139227642,0.00000584
69,56504,0.189,21189,0.1275,706301,0.0008745,141260163,0.00000591
70,57317,0.1945,21494,0.1241,716463,0.0008795,143292683,0.00000599
71,58130,0.1975,21799,0.1208,726626,0.0008843,145325203,0.00000606
72,58943,0.216,22104,0.1176,736789,0.0008891,147357724,0.00000612
73,59756,0.2375,22409,0.1145,746951,0.0008937,149390244,0.00000619
74,60569,0.228,22713,0.1116,757114,0.0008982,151422764,0.00000625
75,61382,0.236,23018,0.1086,767276,0.0009027,153455285,0.00000632
76,62195,0.2425,23323,0.1058,777439,0.000907,155487805,0.00000638
77,63008,0.2525,23628,0.1031,787602,0.0009112,157520325,0.00000644
78,63821,0.258,23933,0.1004,797764,0.0009153,159552846,0.00000649
79,64634,0.268,24238,0.09781,807927,0.0009193,161585366,0.00000655
80,65447,0.272,24543,0.09529,818089,0.0009233,163617886,0.0000066
81,66260,0.29,24848,0.09284,828252,0.0009271,165650407,0.00000666
82,67073,0.262,25152,0.09045,838415,0.0009308,167682927,0.00000671
83,67886,0.3085,25457,0.08812,848577,0.0009345,169715447,0.00000676
84,68699,0.2925,25762,0.08586,858740,0.0009381,171747967,0.00000681
85,69512,0.3005,26067,0.08366,868902,0.0009415,173780488,0.00000685
86,70325,0.305,26372,0.08151,879065,0.0009449,175813008,0.0000069
87,71138,0.298,26677,0.07942,889228,0.0009482,177845528,0.00000694
88,71951,0.318,26982,0.07738,899390,0.0009515,179878049,0.00000699
89,72764,0.325,27287,0.0754,909553,0.0009546,181910569,0.00000703
90,73577,0.3255,27591,0.07346,919715,0.0009577,183943089,0.00000707
91,74390,0.3245,27896,0.07158,929878,0.0009607,185975610,0.00000711
92,75203,0.3385,28201,0.06974,940041,0.0009637,188008130,0.00000715
93,76016,0.352,28506,0.06795,950203,0.0009665,190040650,0.00000718
94,76829,0.319,28811,0.0662,960366,0.0009693,192073171,0.00000722
95,77642,0.3355,29116,0.0645,970528,0.000972,194105691,0.00000725
96,78455,0.354,29421,0.06285,980691,0.0009747,196138211,0.00000729
97,79268,0.3565,29726,0.06123,990854,0.0009773,198170732,0.00000732
98,80081,0.358,30030,0.05965,1001016,0.0009798,200203252,0.00000735
99,80894,0.3315,30335,0.05812,1011179,0.0009823,202235772,0.00000738
100,81707,0.326,30640,0.05662,1021341,0.0009847,204268293,0.00000741
101,82520,0.36,30945,0.05516,1031504,0.0009871,206300813,0.00000744
102,83333,0.397,31250,0.05374,1041667,0.0009894,208333333,0.00000747
103,84146,0.357,31555,0.05236,1051829,0.0009916,210365854,0.00000749
104,84959,0.3615,31860,0.05101,1061992,0.0009938,212398374,0.00000752
105,85772,0.373,32165,0.04969,1072154,0.0009959,214430894,0.00000754
106,86585,0.373,32470,0.04841,1082317,0.000998,216463415,0.00000757
107,87398,0.391,32774,0.04716,1092480,0.001,218495935,0.00000759
108,88211,0.3745,33079,0.04594,1102642,0.001002,220528455,0.00000761
109,89024,0.374,33384,0.04476,1112805,0.001004,222560976,0.00000763
110,89837,0.3915,33689,0.0436,1122967,0.001006,224593496,0.00000765
111,90650,0.381,33994,0.04248,1133130,0.001008,226626016,0.00000767
112,91463,0.3925,34299,0.04138,1143293,0.001009,228658537,0.00000769
113,92276,0.3685,34604,0.04031,1153455,0.001011,230691057,0.00000771
114,93089,0.3855,34909,0.03927,1163618,0.001013,232723577,0.00000773
115,93902,0.3825,35213,0.03825,1173780,0.001015,234756098,0.00000775
116,94715,0.4015,35518,0.03726,1183943,0.001016,236788618,0.00000776
117,95528,0.373,35823,0.0363,1194106,0.001018,238821138,0.00000778
118,96341,0.37,36128,0.03536,1204268,0.001019,240853659,0.00000779
119,97154,0.3965,36433,0.03445,1214431,0.001021,242886179,0.00000781
120,97967,0.379,36738,0.03356,1224593,0.001022,244918699,0.00000782
121,98780,0.3895,37043,0.0327,1234756,0.001024,246951220,0.00000783
122,99593,0.3875,37348,0.03185,1244919,0.001025,248983740,0.00000784
123,100407,0.3845,37652,0.03103,1255081,0.001026,251016260,0.00000786
