Parameter,t0,Pt,q0,Pq0,q1,Pq1,q2,Pq2
0,406.5,0,508.1,0.3577,508.1,0,1016260,0.00000502
1,1220,0,1524,0.7354,1524,0.0002361,3048780,0.00000501
2,2033,0,2541,0.6949,2541,0.001123,5081301,0.000005
3,2846,0,3557,0.6347,3557,0.002131,7113821,0.000005
4,3659,0,4573,0.5743,4573,0.003459,9146341,0.000005
5,4472,0,5589,0.523,5589,0.004857,11178862,0.000005
6,5285,0,6606,0.4756,6606,0.005571,13211382,0.000005
7,6098,0,7622,0.4323,7622,0.005968,15243902,0.000005
8,6911,0,8638,0.3936,8638,0.006267,17276423,0.000005
9,7724,0,9654,0.3592,9654,0.006466,19308943,0.000005
10,8537,0,10671,0.3286,10671,0.006588,21341463,0.000005
11,9350,0,11687,0.3015,11687,0.006661,23373984,0.000005
12,10163,0.00003333,12703,0.2772,12703,0.006697,25406504,0.000005
13,10976,0,13720,0.2553,13720,0.006706,27439024,0.000005
14,11789,0,14736,0.2355,14736,0.006701,29471545,0.000005
15,12602,0,15752,0.2174,15752,0.006702,31504065,0.000005
16,13415,0.00003333,16768,0.201,16768,0.006723,33536585,0.000005
17,14228,0.0001333,17785,0.186,17785,0.006772,35569106,0.000005
18,15041,0.0001667,18801,0.1723,18801,0.006849,37601626,0.000005
19,15854,0.0001667,19817,0.1599,19817,0.006948,39634146,0.000005
20,16667,0.00003333,20833,0.1485,20833,0.00706,41666667,0.000005
21,17480,0.00006667,21850,0.1381,21850,0.00718,43699187,0.000005
22,18293,0.0003667,22866,0.1285,22866,0.007306,45731707,0.000005
23,19106,0.0004667,23882,0.1197,23882,0.007435,47764228,0.000005
24,19919,0.0005,24898,0.1116,24898,0.007566,49796748,0.000005
25,20732,0.0007667,25915,0.1041,25915,0.007699,51829268,0.000005
26,21545,0.0004,26931,0.09722,26931,0.007831,53861789,0.000005
27,22358,0.0007,27947,0.09084,27947,0.007962,55894309,0.000005
28,23171,0.0008667,28963,0.08493,28963,0.00809,57926829,0.000005
29,23984,0.0007667,29980,0.07945,29980,0.008213,59959350,0.000005
30,24797,0.001633,30996,0.07436,30996,0.008331,61991870,0.000005
31,25610,0.001467,32012,0.06963,32012,0.008443,64024390,0.000005
32,26423,0.0014,33028,0.06523,33028,0.00855,66056911,0.000005
33,27236,0.001733,34045,0.06113,34045,0.008652,68089431,0.000005
34,28049,0.002433,35061,0.05731,35061,0.00875,70121951,0.000005
35,28862,0.003033,36077,0.05375,36077,0.008845,72154472,0.000005
36,29675,0.003167,37093,0.05043,37093,0.008938,74186992,0.000005
37,30488,0.003633,38110,0.04733,38110,0.009028,76219512,0.000005
38,31301,0.004,39126,0.04444,39126,0.009117,78252033,0.000005
39,32114,0.003733,40142,0.04174,40142,0.009206,80284553,0.000005
40,32927,0.003867,41159,0.03923,41159,0.009293,82317073,0.000005
41,33740,0.004833,42175,0.03687,42175,0.00938,84349593,0.000005
42,34553,0.004633,43191,0.03467,43191,0.009466,86382114,0.000005
43,35366,0.0049,44207,0.03261,44207,0.009552,88414634,0.000005
44,36179,0.006433,45224,0.03068,45224,0.009637,90447154,0.000005
45,36992,0.006433,46240,0.02887,46240,0.009721,92479675,0.000005
46,37805,0.0073,47256,0.02716,47256,0.009804,94512195,0.000005
47,38618,0.008233,48272,0.02556,48272,0.009885,96544715,0.000005
48,39431,0.008933,49289,0.02405,49289,0.009966,98577236,0.000005
49,40244,0.009633,50305,0.02263,50305,0.01004,100609756,0.000005
50,41057,0.009133,51321,0.0213,51321,0.01012,102642276,0.000005
51,41870,0.0106,52337,0.02004,52337,0.0102,104674797,0.000005
52,42683,0.0116,53354,0.01886,53354,0.01027,106707317,0.000005
53,43496,0.01217,54370,0.01774,54370,0.01034,108739837,0.000005
54,44309,0.0132,55386,0.01669,55386,0.01041,110772358,0.000005
55,45122,0.01323,56402,0.01571,56402,0.01048,112804878,0.000005
56,45935,0.01427,57419,0.01478,57419,0.01054,114837398,0.000005
57,46748,0.01473,58435,0.01391,58435,0.0106,116869919,0.000005
58,47561,0.0153,59451,0.0131,59451,0.01066,118902439,0.000005
59,48374,0.01583,60467,0.01233,60467,0.01072,120934959,0.000005
60,49187,0.0156,61484,0.01161,61484,0.01077,122967480,0.000005
61,50000,0.0175,62500,0.01094,62500,0.01082,125000000,0.000005
62,50813,0.0191,63516,0.01031,63516,0.01087,127032520,0.000005
